ZIP Code,City,County,Type
ZIP Code 01001,Agawam,Hampden,Standard
ZIP Code 01002,Amherst,Hampshire,Standard
ZIP Code 01003,Amherst,Hampshire,Standard
ZIP Code 01004,Amherst,Hampshire,P.O. Box
ZIP Code 01005,Barre,Worcester,Standard
ZIP Code 01007,Belchertown,Hampshire,Standard
ZIP Code 01008,Blandford,Hampden,Standard
ZIP Code 01009,Bondsville,Hampden,P.O. Box
ZIP Code 01010,Brimfield,Hampden,Standard
ZIP Code 01011,Chester,Hampden,Standard
ZIP Code 01012,Chesterfield,Hampshire,Standard
ZIP Code 01013,Chicopee,Hampden,Standard
ZIP Code 01014,Chicopee,Hampden,P.O. Box
ZIP Code 01020,Chicopee,Hampden,Standard
ZIP Code 01021,Chicopee,Hampden,P.O. Box
ZIP Code 01022,Chicopee,Hampden,Standard
ZIP Code 01026,Cummington,Hampshire,Standard
ZIP Code 01027,Easthampton,Hampshire,Standard
ZIP Code 01028,East Longmeadow,Hampden,Standard
ZIP Code 01029,East Otis,Berkshire,P.O. Box
ZIP Code 01030,Feeding Hills,Hampden,Standard
ZIP Code 01031,Gilbertville,Worcester,Standard
ZIP Code 01032,Goshen,Hampshire,Standard
ZIP Code 01033,Granby,Hampshire,Standard
ZIP Code 01034,Granville,Hampden,Standard
ZIP Code 01035,Hadley,Hampshire,Standard
ZIP Code 01036,Hampden,Hampden,Standard
ZIP Code 01037,Hardwick,Worcester,P.O. Box
ZIP Code 01038,Hatfield,Hampshire,Standard
ZIP Code 01039,Haydenville,Hampshire,Standard
ZIP Code 01040,Holyoke,Hampden,Standard
ZIP Code 01041,Holyoke,Hampden,P.O. Box
ZIP Code 01050,Huntington,Hampshire,Standard
ZIP Code 01053,Leeds,Hampshire,Standard
ZIP Code 01054,Leverett,Franklin,Standard
ZIP Code 01056,Ludlow,Hampden,Standard
ZIP Code 01057,Monson,Hampden,Standard
ZIP Code 01059,North Amherst,Hampshire,P.O. Box
ZIP Code 01060,Northampton,Hampshire,Standard
ZIP Code 01061,Northampton,Hampshire,P.O. Box
ZIP Code 01062,Florence,Hampshire,Standard
ZIP Code 01062,Northampton,Hampshire,Standard
ZIP Code 01063,Northampton,Hampshire,Unique
ZIP Code 01066,North Hatfield,Hampshire,P.O. Box
ZIP Code 01068,Oakham,Worcester,Standard
ZIP Code 01069,Palmer,Hampden,Standard
ZIP Code 01070,Plainfield,Hampshire,Standard
ZIP Code 01071,Russell,Hampden,Standard
ZIP Code 01072,Shutesbury,Franklin,Standard
ZIP Code 01073,Southampton,Hampshire,Standard
ZIP Code 01074,South Barre,Worcester,P.O. Box
ZIP Code 01075,South Hadley,Hampshire,Standard
ZIP Code 01077,Southwick,Hampden,Standard
ZIP Code 01079,Thorndike,Hampden,P.O. Box
ZIP Code 01080,Three Rivers,Hampden,Standard
ZIP Code 01081,Wales,Hampden,Standard
ZIP Code 01082,Ware,Hampshire,Standard
ZIP Code 01083,Warren,Worcester,P.O. Box
ZIP Code 01084,West Chesterfield,Hampshire,Standard
ZIP Code 01085,Westfield,Hampden,Standard
ZIP Code 01086,Westfield,Hampden,P.O. Box
ZIP Code 01088,West Hatfield,Hampshire,Standard
ZIP Code 01089,West Springfield,Hampden,Standard
ZIP Code 01090,West Springfield,Hampden,P.O. Box
ZIP Code 01092,West Warren,Worcester,P.O. Box
ZIP Code 01093,Whately,Franklin,P.O. Box
ZIP Code 01094,Wheelwright,Worcester,P.O. Box
ZIP Code 01095,Wilbraham,Hampden,Standard
ZIP Code 01096,Williamsburg,Hampshire,Standard
ZIP Code 01097,Woronoco,Hampden,P.O. Box
ZIP Code 01098,Worthington,Hampshire,Standard
ZIP Code 01101,Springfield,Hampden,P.O. Box
ZIP Code 01102,Springfield,Hampden,P.O. Box
ZIP Code 01103,Springfield,Hampden,Standard
